id,gender,russian_form_1987,chechen_form_1987_normalized,source_status,canonical_today,auto_merge_people
ce-male-1987-154,male,Сайпуддин,Сайпудди,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-155,male,Салам,Салам,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-156,male,Саламбек,Саламбек,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-157,male,Салауддин,Салаудди,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-158,male,Салах,Салах,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-159,male,Салман,Салман,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-160,male,Сафарбек,Сапарбек,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-161,male,Селим,Селим,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-162,male,Сираждин,Сиражди,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-163,male,Солса,Солса,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-164,male,Солта,Солта,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-165,male,Солтамурат,Солтамурад,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-166,male,Солтахан,Солтаха,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-167,male,Сосланбек,Соьслабек,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-168,male,Сугаип,СохӀип,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-169,male,Сулейман,Сулима,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-170,male,Сулима,Сулима,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-171,male,Султан,Султан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-172,male,Супьян,Супьян,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-173,male,Сурхо,Сурхо,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-174,male,Сурхал,Сурхо,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-175,male,Тагир,ТӀахьир,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-176,male,Таймасхан,Таймасха,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-177,male,Тамерлан,Тамерлан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-178,male,Темирбек,Тимарбек,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-179,male,Тимир,Тимар,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-180,male,Темир,Тимар,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-181,male,Тимур,Тимар,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-182,male,Товсолта,Товсолта,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-183,male,Туган,Туган,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-184,male,Тута,Тута,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-185,male,Увайс,Увайс,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-186,male,Усман,Ӏусман,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-187,male,Хаваж,ХӀаважи,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-188,male,Хаджибекир,Хьажабекар,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-189,male,Хаджимурат,Хьажмурд,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-190,male,Хазби,Хасби,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-191,male,Хайдарбек,Хьайдарбек,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-192,male,Халид,Халид,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-193,male,Хамзат,Хьамзат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-194,male,Хамид,Хьамид,ATTESTED_1987_REVIEW_REQUIRED,false,false
