id,gender,russian_form_1987,chechen_form_1987_normalized,source_status,canonical_today,auto_merge_people
ce-female-1987-107,female,Макка,Макка,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-108,female,Малика,Малика,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-109,female,Маржан,Маржан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-110,female,Марзет,Марзет,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-111,female,Марха,Марха,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-112,female,Марьям,Марем,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-113,female,Мелижа,Мелижа,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-114,female,Муминат,Муъминат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-115,female,Нажабат,Нажабат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-116,female,Нанаш,Нанаш,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-117,female,Небисат,Небисат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-118,female,Нурбика,Нурбика,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-119,female,Нуржан,Нуржан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-120,female,Нурпат,Нурпат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-121,female,Нурсет,Нурсет,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-122,female,Падам,Падам,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-123,female,Палада,Палада,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-124,female,Пата,Пата,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-125,female,Петимат,ПетӀимат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-126,female,Полла,Полла,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-127,female,Рабу,Рабу,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-128,female,Раиса,Раиса,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-129,female,Рахимат,Рахьимат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-130,female,Ребиат,РебиӀат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-131,female,Ровзан,Ровзан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-132,female,Роза,Роза,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-133,female,Рукият,Рукьият,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-134,female,Руман,Руман,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-135,female,Самарт,Самарт,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-136,female,Саният,Санет,OCR_OR_MODERNIZATION_REVIEW_REQUIRED,false,false
ce-female-1987-137,female,Сану,Сану,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-138,female,Сарсара,Сарсара,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-139,female,Сегират,СегӀрат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-140,female,Секинат,Секинат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-141,female,Селима,Селима,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-142,female,Селимат,Селимат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-143,female,Селихат,Селихьат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-144,female,Сепият,Сепият,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-145,female,Силжан,Сийлжан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-146,female,Совгат,СовгӀат,OCR_OR_MODERNIZATION_REVIEW_REQUIRED,false,false
ce-female-1987-147,female,Совдат,Совдат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-148,female,Султанат,Султанат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-149,female,Сялбика,Саьлбика,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-150,female,Табарак,Табарак,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-151,female,Тамара,Тамара,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-152,female,Тамаша,Тамаша,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-153,female,Тамила,Тамила,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-154,female,Тамуса,Тамуса,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-155,female,Товсари,Товсари,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-156,female,Умисат,Умисат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-157,female,Умия,Умъя,OCR_OR_MODERNIZATION_REVIEW_REQUIRED,false,false
ce-female-1987-158,female,Фаржет,Паржет,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-159,female,Перизат,Перизат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-160,female,Фариза,Перза,OCR_OR_MODERNIZATION_REVIEW_REQUIRED,false,false
ce-female-1987-161,female,Фатима,ПетӀимат,OCR_OR_MODERNIZATION_REVIEW_REQUIRED,false,false
ce-female-1987-162,female,Хабира,Хабира,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-163,female,Хава,Хъава,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-164,female,Хадижат,Хадижат,OCR_OR_MODERNIZATION_REVIEW_REQUIRED,false,false
ce-female-1987-165,female,Хазан,ХӀазан,OCR_OR_MODERNIZATION_REVIEW_REQUIRED,false,false
ce-female-1987-166,female,Хазимат,Хазимат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-167,female,Хамасат,Хамасат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-168,female,Хасипат,Хьасипат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-169,female,Хелипат,Хелипат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-170,female,Хелисат,Хелисат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-171,female,Хийжан,ХӀийжан,OCR_OR_MODERNIZATION_REVIEW_REQUIRED,false,false
ce-female-1987-172,female,Хулимат,ХӀулимат,OCR_OR_MODERNIZATION_REVIEW_REQUIRED,false,false
ce-female-1987-173,female,Хутмат,Хутмат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-174,female,Шамсет,Шамсет,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-175,female,Шумисат,Шумисат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-176,female,Элиса,Элиса,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-177,female,Элита,Элита,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-178,female,Эльза,Эльза,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-179,female,Эниса,Эниса,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-180,female,Язара,Язара,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-female-1987-181,female,Язура,Язура,ATTESTED_1987_REVIEW_REQUIRED,false,false
